ID,Taxonrich,logTN,ELEV,longitude,logprecip,logAREA,logCL,logHCO3,logSO4,SED,STRMTEMP,Percent.AGT,Percent.URB,Percent.Canopy,Riparian.Disturb.
444,41,2.39445168,1425,-120.40485,-0.47320876,5.615533969,2.624668592,6.735623232,2.240709689,11.42857143,13.4,4.58,0.01,0.090909091,1.5
445,37,2.149219113,1621,-119.28908,-0.634878272,1.004301609,3.632309103,8.395287218,5.322522055,78.0952381,15.1,0,0,0.590909091,1.5
446,56,2.423245875,131,-123.71965,0.474991171,3.698086935,4.90823336,5.4038911,3.250374492,13.33333333,14.8,0,0,0,0
447,44,2.359835483,1893,-105.36055,-0.318828801,5.578861525,3.339321978,4.75699817,3.763522997,9.6,9.9,0.05,0.14,0.038461539,0
448,27,2.240549248,659,-116.726389,-0.705219762,3.328985048,7.623250863,8.382968535,8.06532806,91.42857143,12.9,0.08,1.83,0.090909091,0
449,44,2.419955748,1842,-108.5925,-0.410980289,7.70002355,6.009550015,8.388515439,10.05645324,61.16504854,22.7,3.31,0.06,0.590909091,1.121213636
450,59,2.243038049,853,-119.753889,-0.403467105,2.085672091,5.536940489,8.399893464,8.496561821,6.666666667,15.8,0.01,0.12,0.227272727,0
451,41,2.240549248,1457,-109.1817,-0.532730459,6.80800124,8.385397435,6.872536308,5.761107541,18.0952381,24.5,0.01,0,1,1.5
452,71,2.053078442,2156,-113.4746,-0.134674903,4.042700329,2.292534757,6.085322113,2.653241965,13.33333333,12.6,0,0,0.545454546,0.909090909
453,43,2.702430537,1636,-111.637778,-0.446287103,5.978835131,8.134027591,8.195065281,7.216415758,26.47058824,10.3,2.32,1.25,0.045454546,0.060609091
454,60,1.579783597,1262,-115.16426,0.495305812,2.155244505,1.504077397,5.596765031,2.797281335,3.80952381,10,0,0,0.772727273,0
455,53,2.324282455,2048,-118.29377,-0.512493681,3.000222179,3.569532696,6.60013441,3.321432413,19.04761905,20.6,0,0,0.181818182,0.772727273
456,57,2.397940009,174,-123.84609,0.638690995,2.20386912,4.343805422,5.549791782,3.947390149,12.24489796,16.4,0,0,0,0
457,47,2.721810615,1167,-117.51413,-0.94160854,3.112181086,3.538056564,7.828431707,6.444449171,40.95238095,16.4,0,0,0.454545455,1.5
458,57,2.017033339,1303,-118.048611,-0.271808723,2.360854001,5.764250221,8.198017149,5.665041646,17.14285714,14.2,0,0,0.136363636,0
459,50,2.809559715,92,-122.795811,0.436317572,4.106767082,4.131961426,5.698820183,2.721295428,6.666666667,17,66.23,0.24,0,0.515159091
460,23,3.03702788,1959,-116.544722,-0.85566611,0.104360015,4.955122584,6.814759181,5.360352757,71.42857143,24,0,0,1,1.5
461,68,1.447158032,1275,-121.186111,0.581656805,0.943905899,2.667228207,6.364461558,3.194583132,11.42857143,4.5,0,0,0,0.151522727
462,29,2.75281643,2000,-108.366111,-0.818710404,4.592388852,6.239300711,8.070430524,9.858908509,48.57142857,24.4,12.79,0,0.954545455,1.5
463,28,2.591064606,1316,-108.19736,-1.152013065,6.969950432,9.446984381,8.451204446,10.48499901,71.42857143,18.6,1.26,0.02,1,0.9697
464,63,2.23299611,1569,-120.034722,-0.044997366,3.069447311,6.750048283,6.369861598,1.824549292,18.0952381,15.9,0,0.36,0.045454546,0
465,67,1.591064606,1486,-118.47835,-0.26918749,3.613077741,2.468099531,6.551297454,2.219203484,29.80769231,17.7,0,0,0,0
466,54,1.832508914,2401,-110.261111,-0.109814866,3.036394255,2.517696473,7.974412808,6.109025336,17.14285714,4.9,0,0,0,0
467,61,1.973127854,60,-123.54806,-0.007024615,4.229458036,5.60653709,7.712915548,5.461710913,14.0625,16.9,1.03,0,0,0
468,51,1.977723605,2525,-108.03855,-0.187535124,3.953164949,3.299533728,7.730966222,6.849914279,11.42857143,12,0.56,0,0.136363636,0
469,65,2.146128036,40,-123.071389,0.265436464,4.325323999,5.79818315,8.311537021,4.672828834,25.71428571,20,0,0,0.045454546,0
470,40,2.161368001,2839,-107.39053,-0.182721637,5.068589687,2.197224577,6.098867226,6.573680167,23.07692308,10,0.08,0,0,0
471,32,2.471291711,34,-122.786944,0.082501222,4.715727177,6.376897001,8.085441585,4.822697999,38.0952381,19.9,5.48,1.05,0,0.33335
472,55,2.220108088,1042,-117.08959,-0.648173815,3.528123675,2.721295428,6.797522915,2.76000994,4.761904762,10,0,0,0,0
473,63,1.832508914,1728,-118.54373,-0.155484903,-0.116533816,1.360976553,7.25510528,3.349904087,19.04761905,9.4,0,0,0,1.5
474,50,2.025305866,3155,-105.398889,-0.390084006,1.809926773,1.916922612,6.397580662,4.062165664,14.28571429,8.7,0.07,0,0,0
475,67,1.819543936,1803,-120.57559,-0.177931208,1.757857918,2.397895273,6.87418712,2.041220329,13.6,12.4,0,0,0,1
476,44,2.149219113,127,-123.74067,0.171429116,-1.714798428,6.354543939,5.658104961,4.480740108,24.44444444,11.6,0,0,0,0
477,42,2.123851641,1691,-120.5317,-0.372514008,0.943905899,3.496507561,8.106970685,4.502029427,33.33333333,9,0,0,0.090909091,1.5
478,46,2.653212513,1912,-116.033333,-0.384192973,3.123245594,3.520460802,6.591417788,8.761957324,9.523809524,18.5,0,4,0.045454546,1.5
479,62,2.079181245,317,-122.84892,0.425267735,2.345644582,3.668676747,6.593118504,2.282382386,17.89473684,14.1,0,0,0.181818182,0
480,42,2.530199699,827,-120.10121,-0.796287939,4.863294706,4.912654886,7.888938219,4.887337078,7.619047619,28.5,0,0,1,1.5
481,25,2.352182517,1923,-115.596389,-0.746547957,3.815071479,4.816241156,8.29281368,5.590986981,38.7755102,18,0.17,0,0,0.272731818
482,36,2.621176283,654,-117.180556,-0.225646682,3.719408659,5.850764665,8.009578958,5.340418543,23,14.3,0.06,0.23,0.090909091,0
483,64,2.387389826,142,-124.084722,0.471252849,2.165619238,5.493472881,5.907135643,3.968403339,2.857142857,13.4,0,0.01,0.136363636,0
484,69,1.544068045,1727,-118.37558,-0.182721637,2.744060639,2.292534757,6.441319677,2.197224577,20.95238095,7.7,0,0,0,0
485,46,2.403120521,146,-120.35832,-0.752897185,4.008605103,7.747942202,8.755324188,8.474390069,44.76190476,16.1,2.76,0.6,0.181818182,1.3182
486,31,2.848804701,542,-119.948611,-0.343899752,3.814189645,7.154146497,8.199627214,6.11412456,14.28571429,23.1,0,4.79,0.090909091,0
487,54,2.255272504,1229,-117.0075,-0.406465608,5.407754561,4.816241156,7.518649561,3.758871826,15.23809524,13.1,0.03,2.4,0.181818182,0
488,46,3.230704313,485,-100.1003,-0.818710404,6.004750891,5.376666333,8.495487927,7.531284393,92.38095238,14.1,27.98,1.81,1,1.5
489,46,3.570542939,762,-117.133056,-0.363843433,3.548179572,6.98416061,7.860426155,5.792708684,35.23809524,16.1,0,1.57,0.181818182,0
490,37,2.887617299,677,-102.70479,-0.837017551,5.181052946,5.98494333,9.171992557,8.545566826,99.04761905,16.5,46.92,1.3,1,1.5
491,40,2.647382971,593,-101.192778,-0.874669057,4.319619175,3.970291914,8.776023388,7.545336894,83.80952381,16.6,46.81,1.23,1,1.5
492,32,3.204119982,457,-100.920278,-0.889162064,10.25373166,8.09440897,8.69273328,9.134959282,77.14285714,20.8,69.55,1.01,0.227272727,0
493,71,1.913813851,579,-122.201111,0.356974899,5.466624512,4.343805422,7.010145891,4.14472077,3.80952381,17.8,0.35,0.95,0,0
494,31,3.153814864,442,-100.46424,-0.881889305,10.33057683,6.900025481,8.921665011,9.195916851,76.19047619,16.9,66.21,0.87,0,1.681827273
495,60,1.806179973,1314,-114.55801,0.361164849,3.207612633,4.780802755,5.556398418,2.740840024,25.43859649,1.9,0,0.86,0.269230769,0
496,39,2.117271296,1673,-105.167778,-0.497580397,6.16432482,5.203457086,6.513399236,5.40222683,1.904761905,18.3,0.49,0.66,0,1
497,34,2.149219113,194,-119.075,-0.471604911,4.70745598,6.42745886,8.201733399,8.313214809,8.571428571,18.9,2.36,0.52,0.454545455,0.075759091
498,24,3.222196046,278,-97.185278,-0.705219762,8.026539408,7.211778111,8.517737896,9.230848633,94.28571429,27,94.71,0.52,0.454545455,0.893945455
499,27,2.627365857,2238,-106.93832,-0.655851396,0.438254931,5.635146682,7.323672242,4.404277244,81.73076923,11.1,0,0.52,0.954545455,1.227272727
500,43,2.220108088,1958,-104.9575,-0.650087691,4.107589789,5.308267697,7.182554181,5.259576538,63.80952381,12.6,3.91,0.51,0.909090909,0
501,28,3.383815365,512,-101.66356,-0.93140437,7.60697399,7.011033628,9.054922406,9.768435004,87.61904762,17.1,71.29,0.48,1,1.431872727
502,29,2.746634198,273,-97.82189,-0.807436327,9.129562978,6.241444752,8.463789606,8.565068652,82.85714286,21.4,73.65,0.41,0.227272727,0.439404546
503,28,2.812244697,1498,-112.060833,-0.823255866,9.554551869,8.830206697,8.400293466,8.376435754,94.28571429,15.9,4.42,0.38,1,1.5
504,26,2.909020853,1233,-113.716111,-0.601479992,5.87745563,6.644960922,8.223636298,6.506381789,34.28571429,12.2,2.31,0.37,0,0.606090909
505,61,2.123851641,1285,-121.35376,0.352767319,2.574899688,2.970414466,6.212902645,5.661918271,31.42857143,6.5,0,0.33,0,0
506,41,3.233757362,583,-102.77786,-0.94160854,7.699013259,7.376633275,9.297055263,9.505335638,39.04761905,21.3,44.15,0.31,0.954545455,1.287886364
